epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2143.28,2.53199,2.15091,1.45096,0.88731,0.03368,0.02698,0.01099,2.43424,2.12491,1.44338,0.0004753,0.0004753,0.0004753
55,2182.95,2.5216,2.14685,1.45777,0.88335,0.0324,0.02562,0.01011,2.47683,2.14641,1.44186,0.0004654,0.0004654,0.0004654
56,2222.23,2.51598,2.14443,1.45714,0.88847,0.03053,0.02693,0.01106,2.46452,2.15746,1.46481,0.0004555,0.0004555,0.0004555
57,2261.61,2.49073,2.13518,1.4393,0.88646,0.03244,0.02762,0.01077,2.48263,2.15696,1.44788,0.0004456,0.0004456,0.0004456
58,2300.96,2.51017,2.14527,1.44727,0.71736,0.03193,0.02667,0.01059,2.50685,2.14185,1.45018,0.0004357,0.0004357,0.0004357
59,2340.33,2.48682,2.12628,1.44156,0.88548,0.03501,0.02843,0.01162,2.45866,2.11345,1.44608,0.0004258,0.0004258,0.0004258
60,2379.73,2.51789,2.12193,1.45362,0.72189,0.03392,0.02755,0.01157,2.43748,2.0973,1.46137,0.0004159,0.0004159,0.0004159
61,2419.17,2.47419,2.10999,1.44087,0.8864,0.03417,0.02923,0.0116,2.42811,2.09471,1.43957,0.000406,0.000406,0.000406
62,2458.57,2.47095,2.0842,1.43885,0.88864,0.03497,0.02911,0.0118,2.45975,2.10382,1.45129,0.0003961,0.0003961,0.0003961
63,2498.1,2.45539,2.09138,1.43503,0.88827,0.03303,0.02869,0.01161,2.45855,2.10981,1.43352,0.0003862,0.0003862,0.0003862
64,2537.48,2.47252,2.11165,1.44289,0.71722,0.03265,0.02566,0.01009,2.54723,2.16118,1.45042,0.0003763,0.0003763,0.0003763
65,2576.95,2.4684,2.09415,1.43015,0.89031,0.03438,0.02941,0.01188,2.45439,2.10092,1.42632,0.0003664,0.0003664,0.0003664
66,2616.44,2.45214,2.0845,1.42907,0.89347,0.03472,0.03051,0.01277,2.40262,2.06826,1.41361,0.0003565,0.0003565,0.0003565
67,2655.77,2.46378,2.09289,1.42809,0.88886,0.0332,0.029,0.01176,2.45706,2.08983,1.42325,0.0003466,0.0003466,0.0003466
68,2695.14,2.43991,2.07014,1.42048,0.55595,0.0321,0.0289,0.01207,2.45854,2.10653,1.42095,0.0003367,0.0003367,0.0003367
69,2734.33,2.41949,2.05887,1.41629,0.56064,0.03476,0.03125,0.01319,2.39683,2.04551,1.41792,0.0003268,0.0003268,0.0003268
70,2773.71,2.4177,2.05369,1.40906,0.56242,0.03476,0.03232,0.0137,2.38618,2.03757,1.41948,0.0003169,0.0003169,0.0003169
71,2812.99,2.4398,2.06039,1.42144,0.72065,0.03573,0.03095,0.01291,2.42182,2.0696,1.41622,0.000307,0.000307,0.000307
72,2852.34,2.42584,2.05469,1.40951,0.88988,0.03552,0.0309,0.01283,2.43044,2.0583,1.42764,0.0002971,0.0002971,0.0002971
73,2891.67,2.44322,2.05956,1.41838,0.55803,0.0352,0.03082,0.01298,2.41418,2.05608,1.41985,0.0002872,0.0002872,0.0002872
74,2930.84,2.41752,2.03283,1.41223,0.56136,0.03518,0.03234,0.0137,2.38778,2.02739,1.42946,0.0002773,0.0002773,0.0002773
75,2970.36,2.39976,2.02948,1.40707,0.3876,0.03746,0.03193,0.01356,2.40609,2.04125,1.41216,0.0002674,0.0002674,0.0002674
76,3009.7,2.38572,2.01869,1.39588,0.71899,0.03751,0.03393,0.01323,2.40525,2.05675,1.41081,0.0002575,0.0002575,0.0002575
77,3049.11,2.38907,2.02031,1.3996,0.56142,0.03565,0.03199,0.0135,2.42037,2.05526,1.41904,0.0002476,0.0002476,0.0002476
78,3088.51,2.35603,1.99796,1.39705,0.56164,0.0348,0.03235,0.01386,2.38517,2.03608,1.40891,0.0002377,0.0002377,0.0002377
79,3127.89,2.3857,1.99892,1.3946,0.71813,0.03772,0.03164,0.01299,2.41476,2.04978,1.40861,0.0002278,0.0002278,0.0002278
80,3167.1,2.39421,2.00387,1.39693,0.5598,0.03534,0.03237,0.01362,2.40884,2.02234,1.41617,0.0002179,0.0002179,0.0002179
81,3206.47,2.37705,1.98591,1.38414,0.40251,0.03952,0.0325,0.01365,2.40418,2.04627,1.41165,0.000208,0.000208,0.000208
82,3245.77,2.37777,1.99011,1.3884,0.56284,0.03506,0.03261,0.01369,2.38443,2.02485,1.40991,0.0001981,0.0001981,0.0001981
83,3285.03,2.34578,1.96329,1.37492,0.3962,0.03632,0.03366,0.01432,2.37883,2.00635,1.40588,0.0001882,0.0001882,0.0001882
84,3324.25,2.36639,1.97655,1.39224,0.56022,0.03755,0.03292,0.0139,2.39094,2.00985,1.41287,0.0001783,0.0001783,0.0001783
85,3363.56,2.35689,1.97069,1.3839,0.39861,0.03577,0.03426,0.01462,2.37454,2.00343,1.40134,0.0001684,0.0001684,0.0001684
86,3402.82,2.35238,1.97144,1.38524,0.39642,0.03607,0.03331,0.01388,2.39519,2.0254,1.40531,0.0001585,0.0001585,0.0001585
87,3442.12,2.35696,1.95637,1.38377,0.39692,0.03594,0.03357,0.01421,2.39589,2.00376,1.39982,0.0001486,0.0001486,0.0001486
88,3481.49,2.33869,1.96426,1.37797,0.39802,0.03628,0.0344,0.01453,2.37486,1.99452,1.39582,0.0001387,0.0001387,0.0001387
89,3520.69,2.35081,1.95151,1.3824,0.56546,0.0374,0.03521,0.0148,2.37417,1.98854,1.39413,0.0001288,0.0001288,0.0001288
90,3559.97,2.35986,1.95578,1.37475,0.40162,0.03649,0.03476,0.01479,2.36863,1.99139,1.39862,0.0001189,0.0001189,0.0001189
91,3598.94,2.31512,2.00494,1.39719,0.44154,0.04169,0.03453,0.01442,2.38191,2.05151,1.41338,0.000109,0.000109,0.000109
92,3637.75,2.30269,1.95787,1.39149,0.59951,0.04153,0.03558,0.01499,2.38165,2.02022,1.41154,9.91e-05,9.91e-05,9.91e-05
93,3676.56,2.29382,1.94708,1.39214,0.5949,0.03884,0.03613,0.01528,2.36158,2.00277,1.40573,8.92e-05,8.92e-05,8.92e-05
94,3715.24,2.26012,1.90672,1.37421,0.44505,0.0441,0.03719,0.01577,2.34701,1.98342,1.40274,7.93e-05,7.93e-05,7.93e-05
95,3753.87,2.28462,1.92602,1.38162,0.40611,0.04121,0.03559,0.01533,2.36514,1.99802,1.4047,6.94e-05,6.94e-05,6.94e-05
96,3792.4,2.26169,1.91182,1.37596,0.4094,0.04251,0.03578,0.01534,2.35293,1.98369,1.39695,5.95e-05,5.95e-05,5.95e-05
97,3831.1,2.25487,1.91325,1.37643,0.41544,0.04142,0.03724,0.01572,2.34524,1.9717,1.39675,4.96e-05,4.96e-05,4.96e-05
98,3869.72,2.24049,1.89205,1.37316,0.413,0.04108,0.03714,0.01589,2.33075,1.9668,1.39632,3.97e-05,3.97e-05,3.97e-05
99,3908.37,2.24704,1.91806,1.37434,0.40971,0.04142,0.0367,0.01553,2.34471,1.97627,1.39895,2.98e-05,2.98e-05,2.98e-05
100,3947.06,2.26452,1.91426,1.37086,0.40722,0.0418,0.03726,0.01573,2.34056,1.9738,1.39671,1.99e-05,1.99e-05,1.99e-05
