epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,9332.4,1.31544,1.01223,0.98702,0.19196,0.0428,0.02218,0.00918,1.90789,1.62539,0.71028,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9551.85,1.32047,1.01432,0.98858,0.19449,0.04378,0.02255,0.00933,1.92814,1.65915,0.72188,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9770.88,1.32385,1.01665,0.98631,0.19297,0.04451,0.02257,0.00942,1.89054,1.62995,0.70545,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9991.38,1.31371,1.012,0.98754,0.19431,0.04475,0.02209,0.00905,1.88883,1.64225,0.70264,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10210.6,1.29824,1.00022,0.98792,0.19308,0.04493,0.02214,0.00917,1.91336,1.66025,0.71138,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10430.2,1.30918,1.00771,0.98607,0.19221,0.04505,0.0222,0.00905,1.89777,1.61982,0.70237,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10649.6,1.30404,1.00174,0.98464,0.19357,0.04497,0.02321,0.00942,1.84608,1.53097,0.6866,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10870.2,1.31999,1.00573,0.98335,0.19162,0.04549,0.02272,0.00921,1.87371,1.58994,0.70066,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11089.6,1.31348,1.00137,0.98227,0.19499,0.04535,0.0232,0.00951,1.86818,1.59237,0.69884,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,11310.2,1.30808,1.00258,0.98184,0.19442,0.04658,0.02312,0.00954,1.85914,1.56049,0.69231,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11531.2,1.29753,0.99986,0.98022,0.19409,0.0468,0.0233,0.00948,1.87958,1.60201,0.70209,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,11751.8,1.31678,1.0026,0.98105,0.1934,0.04657,0.02313,0.00945,1.86968,1.59517,0.69909,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,11971.9,1.31391,0.99857,0.98215,0.19477,0.04726,0.02372,0.00971,1.86789,1.61098,0.69884,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,12191.3,1.29664,0.99379,0.98274,0.19566,0.04699,0.02362,0.00967,1.88623,1.63484,0.70872,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,12410.9,1.31607,1.00281,0.97965,0.19466,0.04722,0.02389,0.00975,1.89088,1.62496,0.71163,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,12629.8,1.28895,0.98473,0.97821,0.19545,0.04715,0.02406,0.00985,1.885,1.6077,0.71111,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,12849.2,1.3077,1.00075,0.98145,0.19587,0.04736,0.02426,0.00994,1.88202,1.59952,0.71023,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,13068.8,1.30438,0.99545,0.97817,0.19595,0.04736,0.02434,0.00997,1.88112,1.60111,0.70578,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,13287.4,1.28383,0.98481,0.97686,0.19676,0.04705,0.02451,0.00999,1.8766,1.59556,0.70384,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,13506.2,1.30292,0.99015,0.9758,0.19567,0.04768,0.02473,0.01004,1.88544,1.61102,0.70751,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,13724.9,1.28697,0.98354,0.9779,0.19666,0.04742,0.02483,0.0101,1.87488,1.60576,0.70412,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13943.8,1.30385,0.99023,0.97841,0.19596,0.04731,0.02506,0.0102,1.85923,1.59381,0.69585,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14162.8,1.29338,0.98568,0.97742,0.19774,0.04763,0.02534,0.01021,1.86389,1.58849,0.69676,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
